VL_TOTAL_LIBERADO_FSA_DESEMB,CNPJ_PROPONENTE,TITULO_PROJETO_FSA_DESEMB,CHAMADA_PUBLICA,TOTAL_CAPTADO_RENUN,TITULO_PROJETO_RENUN,SOMA_TOTAL_CAPTADO
42692.1,10.763.360/0001-07,,PROGRAMA ESPECIAL DE APOIO AO PEQUENO EXIBIDOR  PEAPE,0.0,,42692.1
1014000.0,14.210.788/0001-75,HABITAÇÃO SOCIAL - PROJETOS DE UM BRASIL,PRODAV 11,0.0,,1014000.0
900000.0,14.210.788/0001-75,OS PRIMEIROS SOLDADOS,ARRANJOS REGIONAIS,0.0,,900000.0
200000.01,02.616.581/0001-16,,SAV/MINC,949827.59,Outro Sertão,1149827.6
300000.0,02.616.581/0001-16,26º FESTIVAL DE CINEMA DE VITÓRIA,SAV/MINC,949827.59,Outro Sertão,1249827.5899999999
100000.0,04.585.783/0001-73,4º CINE.EMA - FESTIVAL DE CINEMA AMBIENTAL DO ESPÍRITO SANTO COM ITINERÂNCIA E SEMINÁRIO DE MERCADO AUDIOVISUAL AMBIENTAL,SAV/MINC,0.0,,100000.0
160000.0,04.585.783/0001-73,7º FECIN - FESTIVAL DE TV E CINEMA DO INTERIOR DO ESPÍRITO SANTO MUQUI 2018,SAV/MINC,0.0,,160000.0
100000.0,04.585.783/0001-73,O PALHAÇO MENINO - MEMÓRIAS DE UM MENINO MASCARADO,SAV/MINC,0.0,,100000.0
999999.0,04.585.783/0001-73,PÁSSARO DE PAPEL - A JORNADA DE JAIMINHO E SUAS AVENTURAS NA FLORESTA,SAV/MINC,0.0,,999999.0
150000.0,08.103.899/0001-80,DIDI ,ARRANJOS REGIONAIS,0.0,,150000.0
180000.0,08.103.899/0001-80,TODA NOITE ESTAREI LÁ,ARRANJOS REGIONAIS,0.0,,180000.0
600000.0,18.589.962/0001-93,,ARRANJOS REGIONAIS,550474.36,A Incrível Jornada - A História das Baleias Capixabas,1150474.3599999999
88773.26,18.589.962/0001-93,DESTINO DAS SOMBRAS,PRODECINE,550474.36,A Incrível Jornada - A História das Baleias Capixabas,639247.62
180000.0,21.710.727/0001-32,A SUGA,ARRANJOS REGIONAIS,0.0,,180000.0
21346.06,17.151.166/0001-01,,PROGRAMA ESPECIAL DE APOIO AO PEQUENO EXIBIDOR  PEAPE,0.0,,21346.06
75000.0,18.580.137/0001-28,OS INCONTESTÁVEIS,ARRANJOS REGIONAIS,0.0,,75000.0
180000.0,18.580.137/0001-28,PRESENÇA,ARRANJOS REGIONAIS,0.0,,180000.0
34153.69,04.769.554/0001-09,,PROGRAMA ESPECIAL DE APOIO AO PEQUENO EXIBIDOR  PEAPE,0.0,,34153.69
350000.0,14.635.446/0001-05,ÁRIA,SAV/MINC,0.0,,350000.0
0.0,14.635.446/0001-05,PALALOOS,PRODAV,0.0,,0.0
0.0,21.033.878/0001-01,,PROGRAMA ESPECIAL DE APOIO AO PEQUENO EXIBIDOR  PEAPE,0.0,,0.0
629061.0,09.369.796/0001-29,MATA NEGRA,PRODECINE,0.0,,629061.0
600000.0,09.369.796/0001-29,O CEMITÉRIO DAS ALMAS PERDIDAS,ARRANJOS REGIONAIS,0.0,,600000.0
1100000.0,09.369.796/0001-29,,PRODECINE,0.0,,1100000.0
122100.0,09.369.796/0001-29,,COMERCIALIZAÇÃO EM CINEMA,0.0,,122100.0
21346.06,19.387.261/0001-34,,PROGRAMA ESPECIAL DE APOIO AO PEQUENO EXIBIDOR  PEAPE,0.0,,21346.06
150000.0,14.128.876/0001-22,VIAGEM À XIBALBÁ,PRODAV,0.0,,150000.0
500000.0,14.128.876/0001-22,GAROTAS DO GAME,SAV/MINC,0.0,,500000.0
162000.0,21.681.140/0001-42,ZORA CURIOSA,PRODAV 11,0.0,,162000.0
175000.0,21.681.140/0001-42,FESTIVAL BESIDES THE SCREEN 2019 - INTELIGÊNCIAS GRÁFICAS & FICÇÕES ALGORÍTMICAS,SAV/MINC,0.0,,175000.0
21346.06,31.703.432/0001-92,,PROGRAMA ESPECIAL DE APOIO AO PEQUENO EXIBIDOR  PEAPE,0.0,,21346.06
0.0,05.077.549/0001-06,,PROGRAMA ESPECIAL DE APOIO AO PEQUENO EXIBIDOR  PEAPE,0.0,,0.0
0.0,05.077.549/0001-06,,CRÉDITO EMERGENCIAL FSA,0.0,,0.0
0.0,01.592.538/0001-03,,,484749.0,HELENA,484749.0
0.0,31.478.621/0001-09,,,306500.0,Punhal,306500.0
0.0,31.478.621/0001-09,,,188390.0,Morte da Mulata (A) - Filme,188390.0
0.0,36.300.499/0001-08,,,238550.0,"A Rebelião dos Estudantes      (Ex - Rebelião dos Estudantes - Brasília, 1968 (A))",238550.0
